title,project_description,gse_id,keywords,notes,timepoints,time_type,doses,vaccine_type,pathogen_type,target_pathogen,specific_pathogen,target_antigen,specific_antigen,adjuvanted,viral_vector,main_sample_source,specific_sample_source,administration_route,sequencing,gpl,gdstype,taxon,pdat,suppfile,pubmedids
Vaccines combining slow release and follicle targeting of antigens increase germinal center B cell clonal diversity and clonal expansion,"Vaccines incorporating slow release, multivalent antigen display, and/or immunomodulation through adjuvants have important roles in shaping the humoral immune response. Here, we analyzed mechanisms of action of a clinically relevant combination adjuvant strategy, where phosphoserine (pSer)-tagged immunogens bound to aluminum hydroxide (alum) adjuvant (promoting prolonged antigen release to draining lymph nodes) are combined with a potent saponin nanoparticle adjuvant termed SMNP (which alters lymph flow and antigen entry into lymph nodes). When employed with a stabilized HIV Env trimer antigen in mice, this combined adjuvant approach promoted substantial enhancements in germinal center (GC) and antibody responses relative to either adjuvant alone. Using scRNA-seq and scBCR-seq, we found that the alum-pSer/SMNP combination augmented the clonal expansion and diversity of GC B cell repertoire, coincident with increased expression of positive selection markers and proportion of S-phase GC B cells. To gain insight into the source of these changes in the GC response, we analyzed antigen biodistribution and structural integrity in draining lymph nodes and found that the combination adjuvant approach, but not alum-pSer delivery or SMNP alone, promoted accumulation of intact antigen on follicular dendritic cells (FDCs), reflecting an integration of the effects by slowing antigen release and altering lymph node uptake. Ablating the Cr1/2 complex on FDCs significantly hampered antigen-specific GC response, corroborating enhanced FDC decoration as the key mechanism of improved vaccine response. These results demonstrate how adjuvants with complementary mechanisms of action impacting vaccine biodistribution and kinetics can synergize to enhance humoral immunity. Overall design: On day 14 post-immunization, antigen-specific germinal center B cells were isolated from inguinal lymph nodes using fluorescent-activated cell sorting. Sorted cells were immediated loaded onto SeqWell arrays for scRNA-seq.",GSE288450,"scRNA, hiv, adjuvant",NA,NA,NA,NA,SU,Virus,HIV,NA,Env trimer,NA,Saponin,NA,Lymph node,GC B cells,No info,scBCR,GPL24247,Expression profiling by high throughput sequencing,Mus musculus,2025/02/04,"CSV, MTX, RDS, TSV",40531969
Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,"Neutrophils are innate immune cells involved in the elimination of pathogens. Recent studies showed that neutrophils can also act as antigen presenting cells (APC) to induce adaptive immune responses. Specific neutrophil populations (Na and Nb) with different levels of APC markers and in vitro distinct capacity to generate vaccinia virus (VACV)-specific CD8 T cell responses have been shown. However, how these neutrophil subtypes exert their role in vivo and how manipulation of Nb/Na ratio can influence vaccine-mediated immune responses are not known. In the context of VACV infection, we characterized HIV-specific CD8 T cell responses, delineated neutrophil transcriptomic profiles and described neutrophil dynamic behaviors in the spleen. By splenic multiphoton intravital microscopy (MV-IVM), we could distinguish both neutrophil subtypes and found that they showed distinct migratory and motility patterns and different ability to interact with CD8 T cells and move towards them. After analysis of adhesion, inflammatory and migration receptors from peritoneal cavity, blood and spleen, we defined that Nb neutrophils overexpressed the trans-endothelial migration marker a4b1integrin compared to Na subtype. Finally, by inhibiting a4b1integrin, we increased the Nb/Na ratio in peritoneal cavity and spleen, and in turn enhanced CD8 T cell responses to HIV-antigens. These findings provide significant advancements in the comprehension of neutrophil-based control of adaptive immune system. These results are relevant in vaccine vector design that could induce distinct neutrophil subtypes and, in consequence modulate antigen-specific T cell responses. Overall design: Bulk RNA-seq of Nα and Nβ shorted from pertinoneal washes of three mice immunized with 10^7 pfu of NYVAC-C Δ3",GSE165227,"HIV, vaccinia VACV, bulk rnaseq, spleen",Samples from peritoneal wash only,NA,NA,NA,AT,Virus,HIV,NA,GP120 and GagPol,NA,NA,NA,Spleen,NA,IM,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2021/04/12,CSV,33846352
Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,"Neutrophils are innate immune cells involved in the elimination of pathogens. Recent studies showed that neutrophils can also act as antigen presenting cells (APC) to induce adaptive immune responses. Specific neutrophil populations (Na and Nb) with different levels of APC markers and in vitro distinct capacity to generate vaccinia virus (VACV)-specific CD8 T cell responses have been shown. However, how these neutrophil subtypes exert their role in vivo and how manipulation of Nb/Na ratio can influence vaccine-mediated immune responses are not known. In the context of VACV infection, we characterized HIV-specific CD8 T cell responses, delineated neutrophil transcriptomic profiles and described neutrophil dynamic behaviors in the spleen. By splenic multiphoton intravital microscopy (MV-IVM), we could distinguish both neutrophil subtypes and found that they showed distinct migratory and motility patterns and different ability to interact with CD8 T cells and move towards them. After analysis of adhesion, inflammatory and migration receptors from peritoneal cavity, blood and spleen, we defined that Nb neutrophils overexpressed the trans-endothelial migration marker a4b1integrin compared to Na subtype. Finally, by inhibiting a4b1integrin, we increased the Nb/Na ratio in peritoneal cavity and spleen, and in turn enhanced CD8 T cell responses to HIV-antigens. These findings provide significant advancements in the comprehension of neutrophil-based control of adaptive immune system. These results are relevant in vaccine vector design that could induce distinct neutrophil subtypes and, in consequence modulate antigen-specific T cell responses. Overall design: Bulk RNA-seq of Nα and Nβ shorted from pertinoneal washes of three mice immunized with 10^7 pfu of NYVAC-C Δ3",GSE165227,"HIV, vaccinia VACV, bulk rnaseq, spleen",Samples from peritoneal wash only,NA,NA,NA,AT,Virus,Vaccinia,NA,NYVAC,NA,NA,NA,Spleen,NA,IM,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2021/04/12,CSV,33846352
Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,"Neutrophils are innate immune cells involved in the elimination of pathogens. Recent studies showed that neutrophils can also act as antigen presenting cells (APC) to induce adaptive immune responses. Specific neutrophil populations (Na and Nb) with different levels of APC markers and in vitro distinct capacity to generate vaccinia virus (VACV)-specific CD8 T cell responses have been shown. However, how these neutrophil subtypes exert their role in vivo and how manipulation of Nb/Na ratio can influence vaccine-mediated immune responses are not known. In the context of VACV infection, we characterized HIV-specific CD8 T cell responses, delineated neutrophil transcriptomic profiles and described neutrophil dynamic behaviors in the spleen. By splenic multiphoton intravital microscopy (MV-IVM), we could distinguish both neutrophil subtypes and found that they showed distinct migratory and motility patterns and different ability to interact with CD8 T cells and move towards them. After analysis of adhesion, inflammatory and migration receptors from peritoneal cavity, blood and spleen, we defined that Nb neutrophils overexpressed the trans-endothelial migration marker a4b1integrin compared to Na subtype. Finally, by inhibiting a4b1integrin, we increased the Nb/Na ratio in peritoneal cavity and spleen, and in turn enhanced CD8 T cell responses to HIV-antigens. These findings provide significant advancements in the comprehension of neutrophil-based control of adaptive immune system. These results are relevant in vaccine vector design that could induce distinct neutrophil subtypes and, in consequence modulate antigen-specific T cell responses. Overall design: Bulk RNA-seq of Nα and Nβ shorted from pertinoneal washes of three mice immunized with 10^7 pfu of NYVAC-C Δ3",GSE165227,"HIV, vaccinia VACV, bulk rnaseq, spleen",Samples from peritoneal wash only,NA,NA,NA,AT,Virus,HIV,NA,GP120 and GagPol,NA,NA,NA,Spleen,NA,IPeri,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2021/04/12,CSV,33846352
Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,"Neutrophils are innate immune cells involved in the elimination of pathogens. Recent studies showed that neutrophils can also act as antigen presenting cells (APC) to induce adaptive immune responses. Specific neutrophil populations (Na and Nb) with different levels of APC markers and in vitro distinct capacity to generate vaccinia virus (VACV)-specific CD8 T cell responses have been shown. However, how these neutrophil subtypes exert their role in vivo and how manipulation of Nb/Na ratio can influence vaccine-mediated immune responses are not known. In the context of VACV infection, we characterized HIV-specific CD8 T cell responses, delineated neutrophil transcriptomic profiles and described neutrophil dynamic behaviors in the spleen. By splenic multiphoton intravital microscopy (MV-IVM), we could distinguish both neutrophil subtypes and found that they showed distinct migratory and motility patterns and different ability to interact with CD8 T cells and move towards them. After analysis of adhesion, inflammatory and migration receptors from peritoneal cavity, blood and spleen, we defined that Nb neutrophils overexpressed the trans-endothelial migration marker a4b1integrin compared to Na subtype. Finally, by inhibiting a4b1integrin, we increased the Nb/Na ratio in peritoneal cavity and spleen, and in turn enhanced CD8 T cell responses to HIV-antigens. These findings provide significant advancements in the comprehension of neutrophil-based control of adaptive immune system. These results are relevant in vaccine vector design that could induce distinct neutrophil subtypes and, in consequence modulate antigen-specific T cell responses. Overall design: Bulk RNA-seq of Nα and Nβ shorted from pertinoneal washes of three mice immunized with 10^7 pfu of NYVAC-C Δ3",GSE165227,"HIV, vaccinia VACV, bulk rnaseq, spleen",Samples from peritoneal wash only,NA,NA,NA,AT,Virus,Vaccinia,NA,NYVAC,NA,NA,NA,Spleen,NA,IPeri,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2021/04/12,CSV,33846352
Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,"Neutrophils are innate immune cells involved in the elimination of pathogens. Recent studies showed that neutrophils can also act as antigen presenting cells (APC) to induce adaptive immune responses. Specific neutrophil populations (Na and Nb) with different levels of APC markers and in vitro distinct capacity to generate vaccinia virus (VACV)-specific CD8 T cell responses have been shown. However, how these neutrophil subtypes exert their role in vivo and how manipulation of Nb/Na ratio can influence vaccine-mediated immune responses are not known. In the context of VACV infection, we characterized HIV-specific CD8 T cell responses, delineated neutrophil transcriptomic profiles and described neutrophil dynamic behaviors in the spleen. By splenic multiphoton intravital microscopy (MV-IVM), we could distinguish both neutrophil subtypes and found that they showed distinct migratory and motility patterns and different ability to interact with CD8 T cells and move towards them. After analysis of adhesion, inflammatory and migration receptors from peritoneal cavity, blood and spleen, we defined that Nb neutrophils overexpressed the trans-endothelial migration marker a4b1integrin compared to Na subtype. Finally, by inhibiting a4b1integrin, we increased the Nb/Na ratio in peritoneal cavity and spleen, and in turn enhanced CD8 T cell responses to HIV-antigens. These findings provide significant advancements in the comprehension of neutrophil-based control of adaptive immune system. These results are relevant in vaccine vector design that could induce distinct neutrophil subtypes and, in consequence modulate antigen-specific T cell responses. Overall design: Bulk RNA-seq of Nα and Nβ shorted from pertinoneal washes of three mice immunized with 10^7 pfu of NYVAC-C Δ3",GSE165227,"HIV, vaccinia VACV, bulk rnaseq, spleen",Samples from peritoneal wash only,NA,NA,NA,AT,Virus,HIV,NA,GP120 and GagPol,NA,NA,NA,Peritoneum,NA,IM,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2021/04/12,CSV,33846352
Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,"Neutrophils are innate immune cells involved in the elimination of pathogens. Recent studies showed that neutrophils can also act as antigen presenting cells (APC) to induce adaptive immune responses. Specific neutrophil populations (Na and Nb) with different levels of APC markers and in vitro distinct capacity to generate vaccinia virus (VACV)-specific CD8 T cell responses have been shown. However, how these neutrophil subtypes exert their role in vivo and how manipulation of Nb/Na ratio can influence vaccine-mediated immune responses are not known. In the context of VACV infection, we characterized HIV-specific CD8 T cell responses, delineated neutrophil transcriptomic profiles and described neutrophil dynamic behaviors in the spleen. By splenic multiphoton intravital microscopy (MV-IVM), we could distinguish both neutrophil subtypes and found that they showed distinct migratory and motility patterns and different ability to interact with CD8 T cells and move towards them. After analysis of adhesion, inflammatory and migration receptors from peritoneal cavity, blood and spleen, we defined that Nb neutrophils overexpressed the trans-endothelial migration marker a4b1integrin compared to Na subtype. Finally, by inhibiting a4b1integrin, we increased the Nb/Na ratio in peritoneal cavity and spleen, and in turn enhanced CD8 T cell responses to HIV-antigens. These findings provide significant advancements in the comprehension of neutrophil-based control of adaptive immune system. These results are relevant in vaccine vector design that could induce distinct neutrophil subtypes and, in consequence modulate antigen-specific T cell responses. Overall design: Bulk RNA-seq of Nα and Nβ shorted from pertinoneal washes of three mice immunized with 10^7 pfu of NYVAC-C Δ3",GSE165227,"HIV, vaccinia VACV, bulk rnaseq, spleen",Samples from peritoneal wash only,NA,NA,NA,AT,Virus,Vaccinia,NA,NYVAC,NA,NA,NA,Peritoneum,NA,IM,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2021/04/12,CSV,33846352
Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,"Neutrophils are innate immune cells involved in the elimination of pathogens. Recent studies showed that neutrophils can also act as antigen presenting cells (APC) to induce adaptive immune responses. Specific neutrophil populations (Na and Nb) with different levels of APC markers and in vitro distinct capacity to generate vaccinia virus (VACV)-specific CD8 T cell responses have been shown. However, how these neutrophil subtypes exert their role in vivo and how manipulation of Nb/Na ratio can influence vaccine-mediated immune responses are not known. In the context of VACV infection, we characterized HIV-specific CD8 T cell responses, delineated neutrophil transcriptomic profiles and described neutrophil dynamic behaviors in the spleen. By splenic multiphoton intravital microscopy (MV-IVM), we could distinguish both neutrophil subtypes and found that they showed distinct migratory and motility patterns and different ability to interact with CD8 T cells and move towards them. After analysis of adhesion, inflammatory and migration receptors from peritoneal cavity, blood and spleen, we defined that Nb neutrophils overexpressed the trans-endothelial migration marker a4b1integrin compared to Na subtype. Finally, by inhibiting a4b1integrin, we increased the Nb/Na ratio in peritoneal cavity and spleen, and in turn enhanced CD8 T cell responses to HIV-antigens. These findings provide significant advancements in the comprehension of neutrophil-based control of adaptive immune system. These results are relevant in vaccine vector design that could induce distinct neutrophil subtypes and, in consequence modulate antigen-specific T cell responses. Overall design: Bulk RNA-seq of Nα and Nβ shorted from pertinoneal washes of three mice immunized with 10^7 pfu of NYVAC-C Δ3",GSE165227,"HIV, vaccinia VACV, bulk rnaseq, spleen",Samples from peritoneal wash only,NA,NA,NA,AT,Virus,HIV,NA,GP120 and GagPol,NA,NA,NA,Peritoneum,NA,IPeri,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2021/04/12,CSV,33846352
Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,"Neutrophils are innate immune cells involved in the elimination of pathogens. Recent studies showed that neutrophils can also act as antigen presenting cells (APC) to induce adaptive immune responses. Specific neutrophil populations (Na and Nb) with different levels of APC markers and in vitro distinct capacity to generate vaccinia virus (VACV)-specific CD8 T cell responses have been shown. However, how these neutrophil subtypes exert their role in vivo and how manipulation of Nb/Na ratio can influence vaccine-mediated immune responses are not known. In the context of VACV infection, we characterized HIV-specific CD8 T cell responses, delineated neutrophil transcriptomic profiles and described neutrophil dynamic behaviors in the spleen. By splenic multiphoton intravital microscopy (MV-IVM), we could distinguish both neutrophil subtypes and found that they showed distinct migratory and motility patterns and different ability to interact with CD8 T cells and move towards them. After analysis of adhesion, inflammatory and migration receptors from peritoneal cavity, blood and spleen, we defined that Nb neutrophils overexpressed the trans-endothelial migration marker a4b1integrin compared to Na subtype. Finally, by inhibiting a4b1integrin, we increased the Nb/Na ratio in peritoneal cavity and spleen, and in turn enhanced CD8 T cell responses to HIV-antigens. These findings provide significant advancements in the comprehension of neutrophil-based control of adaptive immune system. These results are relevant in vaccine vector design that could induce distinct neutrophil subtypes and, in consequence modulate antigen-specific T cell responses. Overall design: Bulk RNA-seq of Nα and Nβ shorted from pertinoneal washes of three mice immunized with 10^7 pfu of NYVAC-C Δ3",GSE165227,"HIV, vaccinia VACV, bulk rnaseq, spleen",Samples from peritoneal wash only,NA,NA,NA,AT,Virus,Vaccinia,NA,NYVAC,NA,NA,NA,Peritoneum,NA,IPeri,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2021/04/12,CSV,33846352
Altered infant T cell differentiation in infection or vaccination reduces lung tissue-resident memory generation,"Infants suffer disproportionately from respiratory infections and generate reduced vaccine responses compared to adults, although underlying mechanisms remain unclear. In adult mice, lung-localized, tissue-resident memory T cells (TRM) mediate optimal protection to respiratory pathogens. We hypothesized that reduced protection in infancy was due to impaired T effector localization and/or lung TRM establishment. Using an infant mouse model we demonstrate generation of lung-homing, virus-specific T effectors following influenza infection or live-attenuated vaccination, similar to adults. However, infection during infancy generated markedly fewer lung TRM and heterosubtypic protection was reduced compared to adults. Impaired TRM establishment was infant-T cell-intrinsic and infant effectors displayed distinct transcriptional profiles enriched for T-bet-regulated genes. Notably, mouse and human infant T cells exhibited increased T-bet expression following activation and reducing T-bet levels in infant mice enhanced lung TRM establishment. Our findings reveal that infant T cells are intrinsically programmed for short-term responses and targeting key regulators could promote long-term, tissue-targeted protection at this critical life stage. Overall design: Transcriptional profiling by RNA-seq of infant and adult flu-specific mouse CD4 T cells. Project includes three biological replicates of both sample types.",GSE101696,"influenza, lungs",NA,NA,NA,NA,AT,Virus,Influenza,NA,FluMist,NA,NA,NA,Lung,NA,IN,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2017/07/21,TXT,28855242
Spleen transcriptional profiling of Mus musculus BALB/c strain after DNA vaccination against influenza H5N1,"Hemagglutinin of the influenza virus is the main external glycoprotein. This very immunogenic protein is the target of the most anti-influenza vaccines. DNA vaccines are new alternative to conventional inactivated ones. Four DNA vaccines were tested. Each tested variant was based on the pCI vector with nucleotide sequence encoding hemagglutinin from A/swan/Poland/305-135V08/2006 (H5N1, clade 2.2). In K3/pCI, GK/pCI and HAneo/pCI the different optimization algorithms of hemagglutinin encoding sequence without amino acids change were tested. In 3NF/pCI the NFkappaB binding sites flanking the expression cassette were included in order to improve the nuclear transfer. Comparative transcriptome analysis of mice vaccinated the following vaccine HAneo/pCI,K3/pCI, GK/pCI or 3NF/pCI versus empty vector demonstrated minor changes in genes expression pattern. Most genes were expressed on the similar level in the vaccinated individuals and in the control mice. Small number of genes in particular variants showed the expression different than in the control mice. In general, the identified genes with the changed expression included some genes involved in metabolic processes and none of them seem to induce any undesirable pathways nor disease. Overall design: 6-8 weeks female mice BALB/c strain were used in the experiments. Three independent biological replicates of total RNA were isolated for each vaccine variants: HAneo/pCI, K3/pCI and 3NF/pCI and two independent biological replicates of total RNA were isolated from negative control group - empty vector and group GK/pCI. The spleen samples were collected 3 days after the booster DNA vaccination against influenza virus, each of dose was 20ug of plasmid DNA per mouse. Totally, 13 samples of RNA was prepared.",GSE101747,"influenza, dna, balb/c, spleen",NA,NA,NA,NA,DNA,Virus,Influenza,NA,H5N1,NA,NA,NA,Spleen,NA,IM,Microarray,GPL17400,Expression profiling by array,Mus musculus,2017/09/14,CEL,28883819
Identification of Biomarkers of Vaccine Reactogenicity,"Systems vaccinology approaches have been used to successfully define early signatures of the vaccine-induced immune response. However, the possibility that transcriptomics can also predict vaccine reactogenicity has not been fully explored. We have compared four licensed vaccines that have a demonstrated safety profile, as well as three agonists of TLRs that have a known inflammatory potential, to elucidate the transcriptomic profile of an acceptable response to a vaccination versus those which push the inflammatory envelope. In mice, we looked at the transcriptomic changes in the injected muscle, the lymph node that drained the muscle and the PBMC isolated from the circulating blood from the very early timepoint of 4 hours to over the period of one week. A detailed examination and comparative analysis of the transcriptome from each of these tissues, at all the timepoints of 4, 8, 24, 48, 72 and 168 hr and with these eight different vaccines, TLR or saline control injections, revealed a set of novel biomarkers that are reflective of inflammation after vaccination. These biomarkers are easily sampled and readily measurable in the peripheral blood, providing a useful tool to predict levels of reactogenicity, as a way to select candidates with acceptable immunogenicity and safety profiles. Overall design: High-quality RNA samples isolated from muscle tissue excised around the injection site, the draining medial iliac lymph nodes (MLN) and total PBMCs of mice at 4, 8, 24, 48, 72, 168 hours after the vaccination were subjected to genome-wide transcriptome analysis.",GSE120661,"reactogenicity, pbmcs, different licensed vaccines,",Reactogenicity,4//8//24//48//72//168,Hour,NA,IN,Virus,Influenza,NA,Agrippal,NA,NA,NA,Blood,PBMCs,IM,Microarray,GPL10787,Expression profiling by array,Mus musculus,2019/01/31,TXT,31084714
Identification of Biomarkers of Vaccine Reactogenicity,"Systems vaccinology approaches have been used to successfully define early signatures of the vaccine-induced immune response. However, the possibility that transcriptomics can also predict vaccine reactogenicity has not been fully explored. We have compared four licensed vaccines that have a demonstrated safety profile, as well as three agonists of TLRs that have a known inflammatory potential, to elucidate the transcriptomic profile of an acceptable response to a vaccination versus those which push the inflammatory envelope. In mice, we looked at the transcriptomic changes in the injected muscle, the lymph node that drained the muscle and the PBMC isolated from the circulating blood from the very early timepoint of 4 hours to over the period of one week. A detailed examination and comparative analysis of the transcriptome from each of these tissues, at all the timepoints of 4, 8, 24, 48, 72 and 168 hr and with these eight different vaccines, TLR or saline control injections, revealed a set of novel biomarkers that are reflective of inflammation after vaccination. These biomarkers are easily sampled and readily measurable in the peripheral blood, providing a useful tool to predict levels of reactogenicity, as a way to select candidates with acceptable immunogenicity and safety profiles. Overall design: High-quality RNA samples isolated from muscle tissue excised around the injection site, the draining medial iliac lymph nodes (MLN) and total PBMCs of mice at 4, 8, 24, 48, 72, 168 hours after the vaccination were subjected to genome-wide transcriptome analysis.",GSE120661,"reactogenicity, pbmcs, different licensed vaccines,",Reactogenicity,4//8//24//48//72//168,Hour,NA,IN,Virus,Influenza,NA,Fluad,NA,MF59,NA,Blood,PBMCs,IM,Microarray,GPL10787,Expression profiling by array,Mus musculus,2019/01/31,TXT,31084714
Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,"Annual administration and reformulation of influenza vaccines is required for protection against seasonal infections. However, the induction of strong and long-lasting T cells is critical to reach broad and potentially lifelong antiviral immunity. The NLRP3 inflammasome and its product interleukin-1β (IL-1β) are pivotal mediators of cellular immune responses to influenza, yet, overactivation of these systems leads to side effects, which hamper clinical applications. Here, we present a bypass around these toxicities by targeting the activity of IL-1β to CD8+ T cells. Using this approach, we demonstrate safe inclusion of IL-1β as an adjuvant in vaccination strategies, leading to full protection of mice against a high influenza virus challenge dose by raising potent T cell responses. In conclusion, this paper proposes a class of IL-1β-based vaccine adjuvants and also provides further insight in the mechanics of cellular immune responses driven by IL-1β. Overall design: Groups: WIV alone (reference)/WIV+AddaVax (positive control)/WIV+WT IL-1b/WIV+CD8a ALN-1 Tissues/group: lungs and mediastinal lung-draining lymph nodes Biological replicates/group: 3 Samples in total: 23 Sequencing: Illumina NextSeq500 High Output 75 (two single-end runs/sample) contributor: VIB Flow Core contributor: VIB Nucleomics Core",GSE134647,"influenza, wiv, addavax",NA,NA,NA,NA,IN,Virus,Influenza,NA,Whole,NA,Addavax,NA,Lung,NA,IM,Bulk,GPL19057,Expression profiling by high throughput sequencing,Mus musculus,2019/07/23,XLSX,32714571
Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,"Annual administration and reformulation of influenza vaccines is required for protection against seasonal infections. However, the induction of strong and long-lasting T cells is critical to reach broad and potentially lifelong antiviral immunity. The NLRP3 inflammasome and its product interleukin-1β (IL-1β) are pivotal mediators of cellular immune responses to influenza, yet, overactivation of these systems leads to side effects, which hamper clinical applications. Here, we present a bypass around these toxicities by targeting the activity of IL-1β to CD8+ T cells. Using this approach, we demonstrate safe inclusion of IL-1β as an adjuvant in vaccination strategies, leading to full protection of mice against a high influenza virus challenge dose by raising potent T cell responses. In conclusion, this paper proposes a class of IL-1β-based vaccine adjuvants and also provides further insight in the mechanics of cellular immune responses driven by IL-1β. Overall design: Groups: WIV alone (reference)/WIV+AddaVax (positive control)/WIV+WT IL-1b/WIV+CD8a ALN-1 Tissues/group: lungs and mediastinal lung-draining lymph nodes Biological replicates/group: 3 Samples in total: 23 Sequencing: Illumina NextSeq500 High Output 75 (two single-end runs/sample) contributor: VIB Flow Core contributor: VIB Nucleomics Core",GSE134647,"influenza, wiv, addavax",NA,NA,NA,NA,IN,Virus,Influenza,NA,Whole,NA,Addavax,NA,Lung,NA,IV,Bulk,GPL19057,Expression profiling by high throughput sequencing,Mus musculus,2019/07/23,XLSX,32714571
Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,"Annual administration and reformulation of influenza vaccines is required for protection against seasonal infections. However, the induction of strong and long-lasting T cells is critical to reach broad and potentially lifelong antiviral immunity. The NLRP3 inflammasome and its product interleukin-1β (IL-1β) are pivotal mediators of cellular immune responses to influenza, yet, overactivation of these systems leads to side effects, which hamper clinical applications. Here, we present a bypass around these toxicities by targeting the activity of IL-1β to CD8+ T cells. Using this approach, we demonstrate safe inclusion of IL-1β as an adjuvant in vaccination strategies, leading to full protection of mice against a high influenza virus challenge dose by raising potent T cell responses. In conclusion, this paper proposes a class of IL-1β-based vaccine adjuvants and also provides further insight in the mechanics of cellular immune responses driven by IL-1β. Overall design: Groups: WIV alone (reference)/WIV+AddaVax (positive control)/WIV+WT IL-1b/WIV+CD8a ALN-1 Tissues/group: lungs and mediastinal lung-draining lymph nodes Biological replicates/group: 3 Samples in total: 23 Sequencing: Illumina NextSeq500 High Output 75 (two single-end runs/sample) contributor: VIB Flow Core contributor: VIB Nucleomics Core",GSE134647,"influenza, wiv, addavax",NA,NA,NA,NA,IN,Virus,Influenza,NA,Whole,NA,Addavax,NA,Lymph node,NA,IM,Bulk,GPL19057,Expression profiling by high throughput sequencing,Mus musculus,2019/07/23,XLSX,32714571
Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,"Annual administration and reformulation of influenza vaccines is required for protection against seasonal infections. However, the induction of strong and long-lasting T cells is critical to reach broad and potentially lifelong antiviral immunity. The NLRP3 inflammasome and its product interleukin-1β (IL-1β) are pivotal mediators of cellular immune responses to influenza, yet, overactivation of these systems leads to side effects, which hamper clinical applications. Here, we present a bypass around these toxicities by targeting the activity of IL-1β to CD8+ T cells. Using this approach, we demonstrate safe inclusion of IL-1β as an adjuvant in vaccination strategies, leading to full protection of mice against a high influenza virus challenge dose by raising potent T cell responses. In conclusion, this paper proposes a class of IL-1β-based vaccine adjuvants and also provides further insight in the mechanics of cellular immune responses driven by IL-1β. Overall design: Groups: WIV alone (reference)/WIV+AddaVax (positive control)/WIV+WT IL-1b/WIV+CD8a ALN-1 Tissues/group: lungs and mediastinal lung-draining lymph nodes Biological replicates/group: 3 Samples in total: 23 Sequencing: Illumina NextSeq500 High Output 75 (two single-end runs/sample) contributor: VIB Flow Core contributor: VIB Nucleomics Core",GSE134647,"influenza, wiv, addavax",NA,NA,NA,NA,IN,Virus,Influenza,NA,Whole,NA,Addavax,NA,Lymph node,NA,IV,Bulk,GPL19057,Expression profiling by high throughput sequencing,Mus musculus,2019/07/23,XLSX,32714571
"The Effect of Calcium on Activity, Immunogenicity and Efficacy of a Recombinant N1/N2 Neuraminidase Vaccine","Despite the importance of immunity against neuraminidase (NA), NA content and immunogenicity is neglected in current influenza vaccines. To address this, a novel recombinant N1/N2 NA vaccine (NAV) was developed. Stability assays were used to determine optimal temperature and buffer conditions for vaccine storage. The effect of calcium-related enhancement of NA stability and activity on N1 and N2 immunogenicity and efficacy against viral challenge was assessed. Differences in activity between N1 and N2 and calcium-related activity enhancement did not translate into differences in immunogenicity or efficacy. NAV vaccinated mice showed robust antibody titers against N1 and N2, decreased viral titers, and decreased antiviral and inflammatory responses by transcriptomic analysis. Overall design: The host lung transcriptional response to influeuza virus infection was assessed in mock vaccinated (PBS), NAV PBS and NAV DPBS-vaccinated mice at days 3 and 6 post-viral infection. All samples were compared to mock vaccinated, mock infected (PBS) animals.",GSE160010,"influenza, neuraminidase, lungs",NA,3//6,Day,NA,SU,Virus,Influenza,NA,Neuraminidase,NA,NA,NA,Lung,NA,IM,Microarray,GPL7202,Expression profiling by array,Mus musculus,2021/03/30,TXT,33824333
