"","Module title","ID","Composite name","Module size...4","Module category","Annotation level","Web link","Top matched pathway in KEGG, PID and BIOCARTA","Jaccard Index...10","Enrichment p value...11","Pathway size","Overlap size...13","Top matched Chaussabel module","Jaccard Index...15","Enrichment p value...16","Module size...17","Overlap size...18","Top matched Transcription Factor","Jaccard Index...20","Enrichment p value...21","Gene set size","Overlap size...23","Top matched Gene Ontology terms (number of matched genes)","btm","group","subgroup","SetSize","Genes"
"15","Hox cluster VI","M107","Hox cluster VI (M107)",11,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M107.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT1_Q6",0.04,7.95e-13,185,7,"nucleus (11), sequence-specific DNA binding transcription factor activity (10), sequence-specific DNA binding (10)","M107","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",11,"HOXB9, HOXB2, HOXB3, HOXB6, HOXA10, HOXA6, HOXA4, HOXA3, HOXA2, C10orf140, HOXA9"
"16","IL2, IL7, TCR network","M65","IL2, IL7, TCR network (M65)",12,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M65.htm","BIOCARTA_IL7_PATHWAY",0.21,1.08e-13,17,5,"[Chaussabel.v2]M4.1",0.04,3.65e-06,58,3,NA,NA,NA,NA,NA,"protein binding (7), plasma membrane (6), signal transduction (4)","M65","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",12,"IL7R, PTPRCAP, ITK, TRAC, IL2RG, LTB, TRA@ /// TRAC /// TRAJ17 /// TRAV20, TRBC1, JAK3, CCR7, LCK, BCL2"
"17","MAPK, RAS signaling","M100","MAPK, RAS signaling (M100)",10,"signaling","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M100.htm","[PID]TCR signaling in na&#xef;ve CD4+ T cells",0.08,3.06e-09,45,4,NA,NA,NA,NA,NA,"MZF1_02",0.02,5.73e-05,177,3,"protein binding (8), cytoplasm (8), platelet activation (6)","M100","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",10,"MAP4K1, RASGRP2, RAC2, RASGRP4, AKT1, TGFB1, MAP2K2, MAP3K11, ARRB2, FLNA"
"18","MHC-TLR7-TLR8 cluster","M146","MHC-TLR7-TLR8 cluster (M146)",17,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M146.htm","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.16,4.28e-35,89,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (17), plasma membrane (16), membrane (15)","M146","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",17,"CD74, HLA-DPB1, HLA-DRA, HLA-C, HLA-B, HLA-A, HLA-DRB1, HLA-G, HLA-F, HLA-DRB4, CD4, HLA-DQB1, HLA-E, HLA-DPA1, TLR8, HLA-DQA1, TLR7"
"19","NK cell surface signature","S1","NK cell surface signature (S1)",48,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S1.htm","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.08,1.67e-18,137,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (33), plasma membrane (30), protein binding (26)","S1","NK CELLS","NK CELLS",48,"PDGFRB, TNFSF11, IL12RB2, TNFSF14, SLC7A5, ADRB2, S1PR5, ATP9A, TIE1, PTGDR, NCAM1, KLRF1, ELOVL6, IL18RAP, KIR2DS4, KIR2DS5, KIR2DS2, KIR2DS3, PTGER2, KIR2DS1, SLCO4C1, GPR82, TGFBR3, KLRC3, ENPP5, IL18R1, NCR1, DLL1, FASLG, KIR3DL1, KIR2DL5A, KIR3DL3, IL2RB, TMEM64, CX3CR1, KLRK1, CD97, SYNGR3, RARRES3, KIT, KIR2DL3, KIR2DL2, KIR2DL1, ATP8B4, SLAMF7, PVRIG, GPR114, HAVCR2"
"20","PLK1 signaling events","M4.2","PLK1 signaling events (M4.2)",34,"signaling","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.2.htm","[PID]PLK1 signaling events",0.36,1.7e-40,27,16,"[Chaussabel.v2]M3.3",0.15,4.95e-22,49,11,NA,NA,NA,NA,NA,"protein binding (31), nucleus (27), cytoplasm (21)","M4.2","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",34,"BUB1B, PLK1, CEP55, KIF14, FBXO5, PRC1, MYBL2, NDC80, TPX2, HJURP, ECT2, ASPM, ERCC6L, RAD51AP1, ESPL1, AURKA, WEE1, CLSPN, ASF1B, BUB1, CDC25C, CENPE, SGOL1, NUSAP1, TRIP13, GINS2, KIF23, CDC20, TUBG1, NCAPG, MLF1IP, CKAP2L, SPC25, KIF20A"
"21","RA, WNT, CSF receptors network (monocyte)","M23","RA, WNT, CSF receptors network (monocyte) (M23)",12,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M23.htm","[PID]Calcineurin-regulated NFAT-dependent transcription in lymphocytes",0.06,1.37e-06,42,3,"[Chaussabel.v2]M4.13",0.03,9.31e-06,79,3,NA,NA,NA,NA,NA,"protein binding (12), positive regulation of transcription, DNA-dependent (7), nucleus (6)","M23","MONOCYTES","MONOCYTES",12,"RARA, FZD1, CEBPA, CSF2RA, FOS, CSF1R, FZD2, RXRA, SPI1, PTGS2, CSF3R, IL8"
"22","RIG-1 like receptor signaling","M68","RIG-1 like receptor signaling (M68)",10,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M68.htm","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.14,5.74e-26,71,10,"[Chaussabel.v2]M3.4",0.07,6e-09,53,4,NA,NA,NA,NA,NA,"protein binding (9), cytoplasm (7), innate immune response (6)","M68","INNATE RESPONSE","INTERFERON/ANTIVIRAL SENSING",10,"DDX58, IRF7, DHX58, TRIM25, NFKBIA, IFIH1, TNF, ISG15, CXCL10, IL8"
"23","Ran mediated mitosis","M15","Ran mediated mitosis (M15)",13,"signaling","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M15.htm","BIOCARTA_RANMS_PATHWAY",0.35,2.16e-18,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (11), nucleus (11), cytoplasm (11)","M15","CELL CYCLE","CELL CYCLE",13,"TPX2, BUB1B, PLK1, H2AFX, KIF15, RAN, ESPL1, AURKA, AURKB, UBE2S, RANBP1, KIF2C, KPNA2"
"24","Rho GTPase cycle","M4.14","Rho GTPase cycle (M4.14)",10,"signaling","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.14.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"signal transduction (6), nucleus (6), intracellular (6)","M4.14","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",10,"E2F2, ECT2, RACGAP1, CEP55, DEPDC1, ARHGAP11A, DEPDC1B, PRC1, C11orf82, ARHGAP19"
"25","T cell activation (I)","M7.1","T cell activation (I) (M7.1)",50,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.1.htm","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.09,1.23e-19,108,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (41), plasma membrane (31), cytoplasm (19)","M7.1","T CELLS","T CELLS",50,"IL7R, RASGRP1, THEMIS, CCL5, TCF7, BCL11B, CD5, TIGIT, CD7, CD2, CCR7, CD247, MS4A1, PTPN22, TXK, TRBC1, IL12RB1, IKZF1, SLA2, CAMK4, RORA, EOMES, PRKCQ, ZAP70, SIT1, NLRC3, DPP4, SIRPG, PRKCH, ICOS, CD28, CD27, RHOH, CD8A, ITPR3, LEF1, CD8B, GATA3, CRTAM, ITK, TRAC, KLRK1, IL21R, LCK, CORO1A, SLAMF7, CD3D, CD3E, SLAMF1, CD3G"
"26","T cell activation (II)","M7.3","T cell activation (II) (M7.3)",31,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.3.htm","BIOCARTA_IL12_PATHWAY",0.26,6.98e-27,23,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (22), plasma membrane (21), integral to membrane (14)","M7.3","T CELLS","T CELLS",31,"CCL5, SP140, TIGIT, CD247, CCR5, NLRC3, PTPRCAP, STAT4, IL12RB1, TRAT1, SLA2, CXCR3, ZAP70, NKG7, SIRPG, ICOS, IFNG, IL18R1, SLAMF7, PTPN7, ITK, CRTAM, GZMA, CD3E, GPR171, TRA@, TARP, CD3D, LCK, SLAMF1, CD3G"
"27","T cell activation (III)","M7.4","T cell activation (III) (M7.4)",14,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.4.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M4.15",0.1,3.73e-11,42,5,"ZIC1_01",0.02,1.14e-07,203,5,"protein binding (11), nucleus (8), cytoplasm (6)","M7.4","T CELLS","T CELLS",14,"KLF12, RASGRP1, THEMIS, NELL2, CD96, CAMK4, RORA, LCK, ATP8B2, ETS1, ZMYND11, PRKCQ, LEF1, GLYR1 /// SEPT6"
"28","T cell activation (IV)","M52","T cell activation (IV) (M52)",13,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M52.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEA3_Q6",0.07,4.85e-28,182,13,"protein binding (9), plasma membrane (5), membrane (5)","M52","T CELLS","T CELLS",13,"SELL, SPI1, GFI1, LPXN, XCL1, GATA3, LAG3, CD5, PTPN6, PTPRC, UNC93B1, LCK, CD3E"
"29","T cell activation and signaling","M5.1","T cell activation and signaling (M5.1)",25,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M5.1.htm","BIOCARTA_CSK_PATHWAY",0.36,2.51e-34,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (16), plasma membrane (16), T cell receptor signaling pathway (12)","M5.1","T CELLS","T CELLS",25,"CD52, CD4, CD247, CD2, CCR7, BIN2, HLA-DRA, IL12RB1, TRAT1, ZAP70, TRAF3IP3, HLA-DRB1, PRKAR1B, GIMAP6, TRA@, ITK, IL2RG, TRA@ /// TRAC, CD3E, TRA@ /// TRAC /// TRAJ17 /// TRAV20, PTPRC, PRKACB, CD3D, LCK, CD3G"
"30","T cell differentiation","M14","T cell differentiation (M14)",12,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M14.htm","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.03,2.38e-05,108,3,"[Chaussabel.v2]M4.1",0.11,4.45e-16,58,7,"ER_Q6_01",0.02,3.16e-06,203,4,"protein binding (11), plasma membrane (4), cytosol (4)","M14","T CELLS","T CELLS",12,"UBASH3A, TCF7, CD28, TXK, ITK, NOG, LRRN3, BCL11B, RASGRP1, SPOCK2, SH2D1A, MAL"
"31","T cell differentiation (Th2)","M19","T cell differentiation (Th2) (M19)",17,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M19.htm","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.04,1.46e-08,108,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (10), plasma membrane (8), membrane raft (5)","M19","T CELLS","T CELLS",17,"UBASH3A, CD28, LCK, TRAT1, PKIA, HNRPLL, GZMK, LAT, ITM2A, GRAP2, IL32, GPR171, SIT1, DPP4, GATA3, MAL, CD3G"
"32","T cell differentiation via ITK and PKC","M18","T cell differentiation via ITK and PKC (M18)",11,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M18.htm","BIOCARTA_KERATINOCYTE_PATHWAY",0.1,1.39e-11,46,5,"[Chaussabel.v2]M4.15",0.13,1.44e-14,42,6,"AP4_Q6",0.02,7.31e-05,173,3,"protein binding (11), plasma membrane (5), cytoplasm (5)","M18","T CELLS","T CELLS",11,"SIRPG, PRKCH, ITK, SH2D1A, ITM2A, ETS1, FASLG, SPOCK2, PRKCQ, ABLIM1, BCL2"
"33","T cell signaling and costimulation","M44","T cell signaling and costimulation (M44)",10,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M44.htm","BIOCARTA_IL7_PATHWAY",0.13,4.45e-08,17,3,NA,NA,NA,NA,NA,"ELK1_01",0.05,1.74e-21,191,10,"protein binding (8), plasma membrane (5), cytosol (5)","M44","T CELLS","T CELLS",10,"IL7R, TCF7, IL23A, FYN, IFI30, CD37, MAPK14, ARHGDIB, LCP1, LCK"
"34","T cell surface signature","S0","T cell surface signature (S0)",27,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (20), membrane (16), plasma membrane (15)","S0","T CELLS","T CELLS",27,"NPDC1, ANKH, LAG3, CD6, CD2, CD320, SLC37A3, C6orf129, NDFIP2, CXCR6, SIT1, SIRPG, ICOS, CD28, SLC38A1, TMEM106C, PTPRCAP, FLT3LG, C12orf23, GIMAP2, LRRN3, CLEC2D, CD3E, ITM2A, GPR171, MAL, CD3G"
"35","T cell surface, activation","M36","T cell surface, activation (M36)",12,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M36.htm","KEGG_PRIMARY_IMMUNODEFICIENCY",0.09,2.53e-09,35,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (12), plasma membrane (11), regulation of immune response (10)","M36","T CELLS","T CELLS",12,"CXADR, LILRB4, CD40LG, LILRB2, LILRB1, TYROBP, ITGA4, VCAM1, CD8A, LILRB3, CD3D, CD3E"
"36","TLR and inflammatory signaling","M16","TLR and inflammatory signaling (M16)",45,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M16.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.2",0.07,4.9e-17,138,12,NA,NA,NA,NA,NA,"protein binding (29), plasma membrane (29), receptor activity (20)","M16","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",45,"FCGR1A /// FCGR1C, HSPA6, NCF4, TLR6, C5AR1, FCGR1B, APOB48R, LILRB3, KCNJ15, LILRB1, PILRA, TYROBP, MGAM, FGR, P2RY13, CXCR2, NFE2, IRAK3, MYD88, FPR2, SIGLEC9, FCAR, DYSF, NPL, FPR1, ALOX5, FCGR2C, AQP9, FES, CSF3R, TLR7, LY96, LILRB2, ITGAX, KCNJ2, WDFY3, TLR2, TLR1, BST1, ANPEP, TLR4, TLR5, LILRA6, TLR8, PADI4"
"37","TLR8-BAFF network","M25","TLR8-BAFF network (M25)",10,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M25.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBP_Q2_01",0.05,4.82e-21,211,10,"protein binding (7), membrane (6), integral to membrane (6)","M25","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",10,"SLC40A1, TNFSF13B, ASGR1, ASGR2, PCTP, AP1S2, TLR8, BCL6, IL1R2, TBXAS1"
"38","Wnt signaling pathway","M206","Wnt signaling pathway (M206)",14,"signaling","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M206.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (11), extracellular region (8), plasma membrane (6)","M206","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",14,"LOXL2, LAMC1, ANTXR1, SFRP4, FRZB, MAP1B, YAP1, CHL1, PMP22, KITLG, CXCL12, NRP1, SOX4, PDZRN3"
"39","activated dendritic cells","M67","activated dendritic cells (M67)",12,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M67.htm","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.04,6.18e-06,69,3,"[Chaussabel.v2]M3.4",0.07,1.41e-08,53,4,NA,NA,NA,NA,NA,"protein binding (9), innate immune response (7), nucleus (4)","M67","INNATE RESPONSE","DC ACTIVATION",12,"CD38, DDX58, IRF7, PLSCR1, BIRC3, C1QC, IFIH1, SERPING1, DDX60, C2, IGKC, RSAD2"
"40","adhesion and migration, chemotaxis","M91","adhesion and migration, chemotaxis (M91)",13,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M91.htm","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.05,1.4e-16,190,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inflammatory response (9), extracellular region (8), chemotaxis (8)","M91","ECM AND MIGRATION","ECM AND MIGRATION",13,"ANXA1, CX3CR1, CCL5, CCL19, PROK2, F2R, CXCR2, ADRB2, CCR5, CCR7, CCL21, CXCL13, PF4"
