MGI Marker Accession ID,Mouse Gene Symbol,Mouse NCBI Gene ID,HGNC ID,Human Gene Symbol,Human NCBI Gene ID
MGI:1913523,Aamdc,66273,HGNC:30205,AAMDC,28971
MGI:107809,Aamp,227290,HGNC:18,AAMP,14
MGI:1328365,Aanat,11298,HGNC:19,AANAT,15
MGI:1915545,Aar2,68295,HGNC:15886,AAR2,25980
MGI:2181621,Aard,239435,HGNC:33842,AARD,441376
MGI:2384560,Aars1,234734,HGNC:20,AARS1,16
MGI:2681839,Aars2,224805,HGNC:21022,AARS2,57505
MGI:2442517,Aasdh,231326,HGNC:23993,AASDH,132949
MGI:1914868,Aasdhppt,67618,HGNC:14235,AASDHPPT,60496
MGI:1353573,Aass,30956,HGNC:17366,AASS,10157
MGI:1929608,Aatf,56321,HGNC:19235,AATF,26574
MGI:1197518,Aatk,11302,HGNC:21,AATK,9625
MGI:3043001,AB124611,382062,HGNC:34073,C19orf38,255809
MGI:2443582,Abat,268860,HGNC:23,ABAT,18
MGI:99607,Abca1,11303,HGNC:29,ABCA1,19
MGI:2676312,Abca12,74591,HGNC:14637,ABCA12,26154
MGI:2388707,Abca13,268379,HGNC:14638,ABCA13,154664
MGI:2388709,Abca15,320631,HGNC:34405,ABCA15P,400508
MGI:3625331,Abca17,381072,HGNC:32972,ABCA17P,650655
MGI:99606,Abca2,11305,HGNC:32,ABCA2,20
MGI:1351617,Abca3,27410,HGNC:33,ABCA3,21
MGI:109424,Abca4,11304,HGNC:34,ABCA4,24
MGI:2386607,Abca5,217265,HGNC:35,ABCA5,23461
MGI:1923434,Abca6,76184,HGNC:36,ABCA6,23460
MGI:1351646,Abca7,27403,HGNC:37,ABCA7,10347
MGI:2386796,Abca9,217262,HGNC:39,ABCA9,10350
MGI:1860508,Abcb10,56199,HGNC:41,ABCB10,23456
MGI:1351619,Abcb11,27413,HGNC:42,ABCB11,8647
MGI:97569,Abcb4,18670,HGNC:45,ABCB4,5244
MGI:1924956,Abcb5,77706,HGNC:46,ABCB5,340273
MGI:1921354,Abcb6,74104,HGNC:47,ABCB6,10058
MGI:109533,Abcb7,11306,HGNC:48,ABCB7,22
MGI:1351667,Abcb8,74610,HGNC:49,ABCB8,11194
MGI:1861729,Abcb9,56325,HGNC:50,ABCB9,23457
MGI:102676,Abcc1,17250,HGNC:51,ABCC1,4363
MGI:2386976,Abcc10,224814,HGNC:52,ABCC10,89845
MGI:2441679,Abcc12,244562,HGNC:14640,ABCC12,94160
MGI:1352447,Abcc2,12780,HGNC:53,ABCC2,1244
MGI:1923658,Abcc3,76408,HGNC:54,ABCC3,8714
MGI:2443111,Abcc4,239273,HGNC:55,ABCC4,10257
MGI:1351644,Abcc5,27416,HGNC:56,ABCC5,10057
MGI:1351634,Abcc6,27421,HGNC:57,ABCC6,368
MGI:1352629,Abcc8,20927,HGNC:59,ABCC8,6833
MGI:1352630,Abcc9,20928,HGNC:60,ABCC9,10060
MGI:1349215,Abcd1,11666,HGNC:61,ABCD1,215
MGI:1349467,Abcd2,26874,HGNC:66,ABCD2,225
MGI:1349216,Abcd3,19299,HGNC:67,ABCD3,5825
MGI:1349217,Abcd4,19300,HGNC:68,ABCD4,5826
MGI:1195458,Abce1,24015,HGNC:69,ABCE1,6059
MGI:1351658,Abcf1,224742,HGNC:70,ABCF1,23
MGI:1351656,Abcf3,27406,HGNC:72,ABCF3,55324
MGI:107704,Abcg1,11307,HGNC:73,ABCG1,9619
MGI:1890594,Abcg4,192663,HGNC:13884,ABCG4,64137
MGI:1351659,Abcg5,27409,HGNC:13886,ABCG5,64240
MGI:1914720,Abcg8,67470,HGNC:13887,ABCG8,64241
MGI:2442422,Abhd10,213012,HGNC:25656,ABHD10,55347
MGI:1916008,Abhd11,68758,HGNC:16407,ABHD11,83451
MGI:1923442,Abhd12,76192,HGNC:15868,ABHD12,26090
MGI:2685650,Abhd12b,100504285,HGNC:19837,ABHD12B,145447
MGI:1916154,Abhd13,68904,HGNC:20293,ABHD13,84945
MGI:1915894,Abhd14a,68644,HGNC:24538,ABHD14A,25864
MGI:1923741,Abhd14b,76491,HGNC:28235,ABHD14B,84836
MGI:1914727,Abhd15,67477,HGNC:26971,ABHD15,116236
MGI:99476,Abhd16a,193742,HGNC:13921,ABHD16A,7920
MGI:3607711,Abhd16b,241850,HGNC:16128,ABHD16B,140701
MGI:106388,Abhd17a,216169,HGNC:28756,ABHD17A,81926
MGI:1917816,Abhd17b,226016,HGNC:24278,ABHD17B,51104
MGI:1917428,Abhd17c,70178,HGNC:26925,ABHD17C,58489
MGI:1915468,Abhd18,269423,HGNC:26111,ABHD18,80167
MGI:1914344,Abhd2,54608,HGNC:18717,ABHD2,11057
MGI:2147183,Abhd3,106861,HGNC:18718,ABHD3,171586
MGI:1915938,Abhd4,105501,HGNC:20154,ABHD4,63874
MGI:1914719,Abhd5,67469,HGNC:21396,ABHD5,51099
MGI:1913332,Abhd6,66082,HGNC:21398,ABHD6,57406
MGI:1918946,Abhd8,64296,HGNC:23759,ABHD8,79575
MGI:104913,Abi1,11308,HGNC:11320,ABI1,10006
MGI:106913,Abi2,329165,HGNC:24011,ABI2,10152
MGI:1913860,Abi3,66610,HGNC:29859,ABI3,51225
MGI:2444583,Abi3bp,320712,HGNC:17265,ABI3BP,25890
MGI:2677850,Abitram,230234,HGNC:1364,ABITRAM,54942
MGI:87859,Abl1,11350,HGNC:76,ABL1,25
MGI:87860,Abl2,11352,HGNC:77,ABL2,27
MGI:1194500,Ablim1,226251,HGNC:78,ABLIM1,3983
MGI:2385758,Ablim2,231148,HGNC:19195,ABLIM2,84448
MGI:2442582,Ablim3,319713,HGNC:29132,ABLIM3,22885
MGI:2135738,Abo,80908,HGNC:79,ABO,28
MGI:107771,Abr,109934,HGNC:81,ABR,29
MGI:2444891,Abra,223513,HGNC:30655,ABRA,137735
MGI:1920362,Abracl,73112,HGNC:21230,ABRACL,58527
MGI:1917931,Abraxas1,70681,HGNC:25829,ABRAXAS1,84142
MGI:1926116,Abraxas2,109359,HGNC:28975,ABRAXAS2,23172
MGI:1353636,Abt1,30946,HGNC:17369,ABT1,29777
MGI:1933148,Abtb1,80283,HGNC:18275,ABTB1,80325
MGI:2139365,Abtb2,99382,HGNC:23842,ABTB2,25841
MGI:1921257,Abtb3,74007,HGNC:23844,ABTB3,121551
MGI:1098623,Acaa2,52538,HGNC:83,ACAA2,10449
MGI:108451,Acaca,107476,HGNC:84,ACACA,31
MGI:2140940,Acacb,100705,HGNC:85,ACACB,32
MGI:2143169,Acad11,102632,HGNC:30211,ACAD11,84129
MGI:1914198,Acad8,66948,HGNC:87,ACAD8,27034
MGI:1914272,Acad9,229211,HGNC:21497,ACAD9,28976
MGI:87866,Acadl,11363,HGNC:88,ACADL,33
MGI:87867,Acadm,11364,HGNC:89,ACADM,34
MGI:87868,Acads,11409,HGNC:90,ACADS,35
MGI:1914135,Acadsb,66885,HGNC:91,ACADSB,36
MGI:895149,Acadvl,11370,HGNC:92,ACADVL,37
MGI:99602,Acan,11595,HGNC:319,ACAN,176
MGI:2388270,Acap1,216859,HGNC:16467,ACAP1,9744
MGI:1925868,Acap2,78618,HGNC:16469,ACAP2,23527
MGI:2153589,Acap3,140500,HGNC:16754,ACAP3,116983
MGI:87870,Acat1,110446,HGNC:93,ACAT1,38
MGI:2181074,Acbd3,170760,HGNC:15453,ACBD3,64746
MGI:1914381,Acbd4,67131,HGNC:23337,ACBD4,79777
MGI:1921409,Acbd5,74159,HGNC:23338,ACBD5,91452
MGI:1919732,Acbd6,72482,HGNC:23339,ACBD6,84320
MGI:1925495,Acbd7,78245,HGNC:17715,ACBD7,414149
MGI:1919717,Accs,329470,HGNC:23989,ACCS,84680
MGI:3584519,Accsl,381411,HGNC:34391,ACCSL,390110
MGI:87873,Acd,497652,HGNC:25070,ACD,65057
MGI:87874,Ace,11421,HGNC:2707,ACE,1636
MGI:1917258,Ace2,70008,HGNC:13557,ACE2,59272
MGI:3644400,Ace3,217246,HGNC:44365,ACE3P,100129123
MGI:2181962,Acer1,171168,HGNC:18356,ACER1,125981
MGI:1920932,Acer2,230379,HGNC:23675,ACER2,340485
MGI:1913440,Acer3,66190,HGNC:16066,ACER3,55331
MGI:87876,Ache,11423,HGNC:108,ACHE,43
MGI:1891824,Acin1,56215,HGNC:17066,ACIN1,22985
MGI:1097689,Ackr1,13349,HGNC:4035,ACKR1,2532
MGI:1891697,Ackr2,59289,HGNC:1565,ACKR2,1238
MGI:109562,Ackr3,12778,HGNC:23692,ACKR3,57007
MGI:2181676,Ackr4,252837,HGNC:1611,ACKR4,51554
MGI:103251,Acly,104112,HGNC:115,ACLY,47
MGI:2386323,Acmsd,266645,HGNC:19288,ACMSD,130013
MGI:87879,Aco1,11428,HGNC:117,ACO1,48
MGI:87880,Aco2,11429,HGNC:118,ACO2,50
MGI:103206,Acod1,16365,HGNC:33904,ACOD1,730249
MGI:1913736,Acot11,329910,HGNC:18156,ACOT11,26027
MGI:1921406,Acot12,74156,HGNC:24436,ACOT12,134526
MGI:1914084,Acot13,66834,HGNC:20999,ACOT13,55856
MGI:2159621,Acot4,171282,HGNC:19748,ACOT4,122970
MGI:1921287,Acot6,217700,HGNC:33159,ACOT6,641372
MGI:1917275,Acot7,70025,HGNC:24157,ACOT7,11332
MGI:2158201,Acot8,170789,HGNC:15919,ACOT8,10005
MGI:1330812,Acox1,11430,HGNC:119,ACOX1,51
MGI:1934852,Acox2,93732,HGNC:120,ACOX2,8309
MGI:1933156,Acox3,80911,HGNC:121,ACOX3,8310
MGI:1921371,Acoxl,74121,HGNC:25621,ACOXL,55289
MGI:87881,Acp1,11431,HGNC:122,ACP1,52
MGI:87882,Acp2,11432,HGNC:123,ACP2,53
MGI:1928480,Acp3,56318,HGNC:125,ACP3,55
MGI:3644563,Acp4,100503991,HGNC:14376,ACP4,93650
MGI:87883,Acp5,11433,HGNC:124,ACP5,54
MGI:1931010,Acp6,66659,HGNC:29609,ACP6,51205
MGI:2142121,Acp7,101744,HGNC:33781,ACP7,390928
MGI:87884,Acr,11434,HGNC:126,ACR,49
MGI:1859515,Acrbp,54137,HGNC:17195,ACRBP,84519
MGI:104590,Acrv1,11451,HGNC:127,ACRV1,56
MGI:2385656,Acsbg1,94180,HGNC:29567,ACSBG1,23205
MGI:3587728,Acsbg2,328845,HGNC:24174,ACSBG2,81616
MGI:2388287,Acsf2,264895,HGNC:26101,ACSF2,80221
MGI:2182591,Acsf3,257633,HGNC:27288,ACSF3,197322
MGI:102797,Acsl1,14081,HGNC:3569,ACSL1,2180
MGI:1921455,Acsl3,74205,HGNC:3570,ACSL3,2181
MGI:1354713,Acsl4,50790,HGNC:3571,ACSL4,2182
MGI:1919129,Acsl5,433256,HGNC:16526,ACSL5,51703
MGI:894291,Acsl6,216739,HGNC:16496,ACSL6,23305
MGI:2152200,Acsm1,117147,HGNC:18049,ACSM1,116285
MGI:99538,Acsm3,20216,HGNC:10522,ACSM3,6296
MGI:2681844,Acsm4,233801,HGNC:32016,ACSM4,341392
MGI:2444086,Acsm5,272428,HGNC:26060,ACSM5,54988
MGI:1915988,Acss1,68738,HGNC:16091,ACSS1,84532
MGI:1890410,Acss2,60525,HGNC:15814,ACSS2,55902
MGI:2685720,Acss3,380660,HGNC:24723,ACSS3,79611
MGI:87902,Acta1,11459,HGNC:129,ACTA1,58
MGI:87909,Acta2,11475,HGNC:130,ACTA2,59
MGI:87904,Actb,11461,HGNC:132,ACTB,60
MGI:2444552,Actbl2,238880,HGNC:17780,ACTBL2,345651
MGI:87905,Actc1,11464,HGNC:143,ACTC1,70
MGI:2685344,Acte1,102636989,HGNC:51491,ACTE1P,399923
MGI:87906,Actg1,11465,HGNC:144,ACTG1,71
MGI:104589,Actg2,11468,HGNC:145,ACTG2,72
MGI:1917612,Actl10,70362,HGNC:16127,ACTL10,170487
MGI:1914972,Actl11,67722,HGNC:44626,ACTL11P,389120
MGI:1861453,Actl6a,56456,HGNC:24124,ACTL6A,86
MGI:1933548,Actl6b,83766,HGNC:160,ACTL6B,51412
MGI:1343051,Actl7a,11470,HGNC:161,ACTL7A,10881
MGI:1343053,Actl7b,11471,HGNC:162,ACTL7B,10880
MGI:1916731,Actl9,69481,HGNC:28494,ACTL9,284382
MGI:3041247,Actmap,414069,HGNC:24758,ACTMAP,284325
MGI:2137706,Actn1,109711,HGNC:163,ACTN1,87
MGI:109192,Actn2,11472,HGNC:164,ACTN2,88
MGI:99678,Actn3,11474,HGNC:165,ACTN3,89
MGI:1890773,Actn4,60595,HGNC:166,ACTN4,81
MGI:1891654,Actr10,56444,HGNC:17372,ACTR10,55860
MGI:1858964,Actr1a,54130,HGNC:167,ACTR1A,10121
MGI:1917446,Actr1b,226977,HGNC:168,ACTR1B,10120
MGI:1913963,Actr2,66713,HGNC:169,ACTR2,10097
MGI:1921367,Actr3,74117,HGNC:170,ACTR3,10096
MGI:2661120,Actr3b,242894,HGNC:17256,ACTR3B,57180
MGI:1924748,Actr5,109275,HGNC:14671,ACTR5,79913
MGI:1914269,Actr6,67019,HGNC:24025,ACTR6,64431
MGI:1860775,Actr8,56249,HGNC:14672,ACTR8,93973
MGI:1920610,Actrt1,73360,HGNC:24027,ACTRT1,139741
MGI:1920603,Actrt2,73353,HGNC:24026,ACTRT2,140625
MGI:1923902,Actrt3,76652,HGNC:24022,ACTRT3,84517
MGI:87911,Acvr1,11477,HGNC:171,ACVR1,90
MGI:1338944,Acvr1b,11479,HGNC:172,ACVR1B,91
MGI:2661081,Acvr1c,269275,HGNC:18123,ACVR1C,130399
MGI:102806,Acvr2a,11480,HGNC:173,ACVR2A,92
MGI:87912,Acvr2b,11481,HGNC:174,ACVR2B,93
MGI:1338946,Acvrl1,11482,HGNC:175,ACVRL1,94
MGI:87913,Acy1,109652,HGNC:177,ACY1,95
MGI:1918920,Acy3,71670,HGNC:24104,ACY3,91703
MGI:1913454,Acyp1,66204,HGNC:179,ACYP1,97
MGI:1922822,Acyp2,75572,HGNC:180,ACYP2,98
MGI:87916,Ada,11486,HGNC:186,ADA,100
MGI:103258,Adad1,21744,HGNC:30713,ADAD1,132612
MGI:1923023,Adad2,75773,HGNC:30714,ADAD2,161931
MGI:1923144,Adal,75894,HGNC:31853,MAPDA,161823
MGI:109548,Adam10,11487,HGNC:188,ADAM10,102
MGI:1098667,Adam11,11488,HGNC:189,ADAM11,4185
MGI:105378,Adam12,11489,HGNC:190,ADAM12,8038
MGI:1333882,Adam15,11490,HGNC:193,ADAM15,8751
MGI:1096335,Adam17,11491,HGNC:195,ADAM17,6868
MGI:105986,Adam18,13524,HGNC:196,ADAM18,8749
MGI:105377,Adam19,11492,HGNC:197,ADAM19,8728
MGI:2429504,Adam1a,280668,HGNC:187,ADAM1A,8759
MGI:2429506,Adam1b,280667,HGNC:44366,ADAM1B,100420505
MGI:1340894,Adam2,11495,HGNC:198,ADAM2,2515
MGI:1861229,Adam21,56622,HGNC:200,ADAM21,8747
MGI:1340046,Adam22,11496,HGNC:201,ADAM22,53616
MGI:1345162,Adam23,23792,HGNC:202,ADAM23,8745
MGI:105984,Adam24,13526,HGNC:203,ADAM24P,646479
MGI:105988,Adam28,13522,HGNC:206,ADAM28,10863
MGI:2676326,Adam29,244486,HGNC:207,ADAM29,11086
MGI:102518,Adam3,11497,HGNC:209,ADAM3A,1587
MGI:1918328,Adam30,71078,HGNC:208,ADAM30,11085
MGI:2653822,Adam32,353188,HGNC:15479,ADAM32,203102
MGI:1341813,Adam33,110751,HGNC:15478,ADAM33,80332
MGI:104730,Adam5,11499,HGNC:212,ADAM5,255926
MGI:2676316,Adam6a,238406,HGNC:213,ADAM6,8755
MGI:107247,Adam7,11500,HGNC:214,ADAM7,8756
MGI:107825,Adam8,11501,HGNC:215,ADAM8,101
MGI:105376,Adam9,11502,HGNC:216,ADAM9,8754
MGI:1917650,Adamdec1,58860,HGNC:16299,ADAMDEC1,27299
MGI:109249,Adamts1,11504,HGNC:217,ADAMTS1,9510
MGI:2449112,Adamts10,224697,HGNC:13201,ADAMTS10,81794
MGI:2146046,Adamts12,239337,HGNC:14605,ADAMTS12,81792
MGI:2685556,Adamts13,279028,HGNC:1366,ADAMTS13,11093
MGI:2179942,Adamts14,237360,HGNC:14899,ADAMTS14,140766
MGI:2449569,Adamts15,235130,HGNC:16305,ADAMTS15,170689
MGI:2429637,Adamts16,271127,HGNC:17108,ADAMTS16,170690
MGI:3588195,Adamts17,233332,HGNC:17109,ADAMTS17,170691
MGI:2442600,Adamts18,208936,HGNC:17110,ADAMTS18,170692
MGI:2442875,Adamts19,240322,HGNC:17111,ADAMTS19,171019
MGI:1347356,Adamts2,216725,HGNC:218,ADAMTS2,9509
MGI:2660628,Adamts20,223838,HGNC:17178,ADAMTS20,80070
MGI:3045353,Adamts3,330119,HGNC:219,ADAMTS3,9508
